model,metric,label_code,data,pipe_name,pred_id
rf,producer_acc,11.0,0.6666666666666667,smote_none,manual_ndvi_2
rf,producer_acc,12.0,0.8,smote_none,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,smote_none,manual_ndvi_2
rf,producer_acc,14.0,0.6666666666666667,smote_none,manual_ndvi_2
rf,producer_acc,16.0,0.625,smote_none,manual_ndvi_2
rf,producer_acc,17.0,0.4545454545454546,smote_none,manual_ndvi_2
rf,producer_acc,20.0,0.9767441860465116,smote_none,manual_ndvi_2
rf,user_acc,1.0,0.6923076923076923,smote_none,manual_ndvi_2
rf,user_acc,2.0,0.449438202247191,smote_none,manual_ndvi_2
rf,user_acc,3.0,0.3652173913043478,smote_none,manual_ndvi_2
rf,user_acc,4.0,0.6993464052287581,smote_none,manual_ndvi_2
rf,user_acc,6.0,0.32835820895522383,smote_none,manual_ndvi_2
rf,user_acc,7.0,0.38888888888888884,smote_none,manual_ndvi_2
rf,user_acc,11.0,0.35,smote_none,manual_ndvi_2
rf,user_acc,12.0,0.4444444444444444,smote_none,manual_ndvi_2
rf,user_acc,13.0,0.6818181818181819,smote_none,manual_ndvi_2
rf,user_acc,14.0,0.42105263157894735,smote_none,manual_ndvi_2
rf,user_acc,16.0,0.2777777777777778,smote_none,manual_ndvi_2
rf,user_acc,17.0,0.3125,smote_none,manual_ndvi_2
rf,user_acc,20.0,0.9264705882352942,smote_none,manual_ndvi_2
svm,overall_accuracy,,0.5219298245614035,smote_none,manual_ndvi_2
svm,balanced_accuracy,,0.5949608600559049,smote_none,manual_ndvi_2
svm,kappa,,0.46328935467736465,smote_none,manual_ndvi_2
svm,producer_acc,1.0,0.7049180327868853,smote_none,manual_ndvi_2
svm,producer_acc,2.0,0.16312056737588654,smote_none,manual_ndvi_2
svm,producer_acc,3.0,0.7894736842105263,smote_none,manual_ndvi_2
svm,producer_acc,4.0,0.5737704918032787,smote_none,manual_ndvi_2
svm,producer_acc,6.0,0.3116883116883117,smote_none,manual_ndvi_2
svm,producer_acc,7.0,0.1123595505617978,smote_none,manual_ndvi_2
svm,producer_acc,11.0,0.5714285714285714,smote_none,manual_ndvi_2
svm,producer_acc,12.0,0.72,smote_none,manual_ndvi_2
svm,producer_acc,13.0,0.9444444444444444,smote_none,manual_ndvi_2
svm,producer_acc,14.0,0.5416666666666667,smote_none,manual_ndvi_2
svm,producer_acc,16.0,1.0,smote_none,manual_ndvi_2
svm,producer_acc,17.0,0.36363636363636365,smote_none,manual_ndvi_2
svm,producer_acc,20.0,0.937984496124031,smote_none,manual_ndvi_2
svm,user_acc,1.0,0.6935483870967742,smote_none,manual_ndvi_2
svm,user_acc,2.0,0.38983050847457623,smote_none,manual_ndvi_2
svm,user_acc,3.0,0.3146853146853147,smote_none,manual_ndvi_2
svm,user_acc,4.0,0.7094594594594594,smote_none,manual_ndvi_2
svm,user_acc,6.0,0.29268292682926833,smote_none,manual_ndvi_2
svm,user_acc,7.0,0.4878048780487805,smote_none,manual_ndvi_2
svm,user_acc,11.0,0.1875,smote_none,manual_ndvi_2
svm,user_acc,12.0,0.32727272727272727,smote_none,manual_ndvi_2
svm,user_acc,13.0,0.5483870967741935,smote_none,manual_ndvi_2
svm,user_acc,14.0,0.3132530120481928,smote_none,manual_ndvi_2
svm,user_acc,16.0,0.25,smote_none,manual_ndvi_2
svm,user_acc,17.0,0.15384615384615385,smote_none,manual_ndvi_2
svm,user_acc,20.0,0.9453125,smote_none,manual_ndvi_2
rf,overall_accuracy,,0.5684210526315789,none_tomeklinks,manual_ndvi_2
rf,balanced_accuracy,,0.6150160684956278,none_tomeklinks,manual_ndvi_2
rf,kappa,,0.5112229274163258,none_tomeklinks,manual_ndvi_2
rf,producer_acc,1.0,0.75,none_tomeklinks,manual_ndvi_2
rf,producer_acc,2.0,0.2836879432624113,none_tomeklinks,manual_ndvi_2
rf,producer_acc,3.0,0.7543859649122807,none_tomeklinks,manual_ndvi_2
rf,producer_acc,4.0,0.5846994535519126,none_tomeklinks,manual_ndvi_2
rf,producer_acc,6.0,0.2987012987012987,none_tomeklinks,manual_ndvi_2
rf,producer_acc,7.0,0.1910112359550562,none_tomeklinks,manual_ndvi_2
rf,producer_acc,11.0,0.7142857142857143,none_tomeklinks,manual_ndvi_2
rf,producer_acc,12.0,0.8,none_tomeklinks,manual_ndvi_2
rf,producer_acc,13.0,0.8333333333333334,none_tomeklinks,manual_ndvi_2
rf,producer_acc,14.0,0.6875,none_tomeklinks,manual_ndvi_2
rf,producer_acc,16.0,0.5,none_tomeklinks,manual_ndvi_2
rf,producer_acc,17.0,0.6363636363636364,none_tomeklinks,manual_ndvi_2
rf,producer_acc,20.0,0.9612403100775194,none_tomeklinks,manual_ndvi_2
