ESPE,ESPE_rc,YEAR,source,FCC,Ocu1,tile_name,coastal_spring,blue_spring,green_spring,red_spring,nir_spring,swir1_spring,swir2_spring,coastal_summer,blue_summer,green_summer,red_summer,nir_summer,swir1_summer,swir2_summer,coastal_summerlong,blue_summerlong,green_summerlong,red_summerlong,nir_summerlong,swir1_summerlong,swir2_summerlong,aspect,dem,shadow,slope,acibasi
2.0,2,2009.0,Digitized,,,p11_1,114.5,110.0,289.5,239.5,1996.5,963.0,450.5,211.0,228.0,468.0,350.0,2398.0,1041.0,494.0,211.0,228.0,468.0,350.0,2398.0,1041.0,494.0,331.21478271484375,815.0,139.0,13.337638854980469,1.0
2.0,2,2009.0,Digitized,,,p11_1,73.0,91.0,314.0,220.0,1609.0,817.0,389.0,577.0,616.5,774.0,658.0,2071.5,1159.0,636.0,577.0,616.5,774.0,658.0,2071.5,1159.0,636.0,7.2542924880981445,723.0,112.0,19.169374465942383,1.0
2.0,2,2009.0,Digitized,,,p11_1,,,,,,,,827.0,876.5,1005.0,941.0,2364.0,1398.0,810.5,827.0,876.5,1005.0,941.0,2364.0,1398.0,810.5,262.68951416015625,950.0,177.0,21.584827423095703,1.0
2.0,2,2009.0,Digitized,,,p11_1,215.33333,256.0,517.6667,682.0,2066.3333,2220.6667,1382.6666,736.0,783.5,967.0,841.0,2852.0,1893.5,1057.5,736.0,783.5,967.0,841.0,2852.0,1893.5,1057.5,283.2086486816406,851.0,144.0,10.765982627868652,1.0
2.0,2,2009.0,Digitized,,,p11_1,,,,,,,,1192.5,1297.0,1469.0,1270.0,2702.0,1559.5,869.0,1192.5,1297.0,1469.0,1270.0,2702.0,1559.5,869.0,362.21783447265625,829.0,90.0,24.63817024230957,1.0
2.0,2,2009.0,Digitized,,,p11_1,66.5,63.0,282.5,170.5,2149.0,731.5,417.0,992.0,1051.0,1194.5,1067.0,2302.5,1546.5,1050.5,992.0,1051.0,1194.5,1067.0,2302.5,1546.5,1050.5,279.8782043457031,945.0,167.0,15.151094436645508,1.0
2.0,2,2009.0,Digitized,,,p11_1,,,,,,,,832.0,864.5,918.5,819.5,2087.5,1207.0,643.5,832.0,864.5,918.5,819.5,2087.5,1207.0,643.5,297.6753234863281,898.0,152.0,15.594581604003906,1.0
2.0,2,2009.0,Digitized,,,p11_1,95.333336,91.666664,283.0,214.66667,1905.3334,842.3333,455.66666,244.0,240.0,402.0,285.0,2287.0,988.0,463.0,244.0,240.0,402.0,285.0,2287.0,988.0,463.0,62.495113372802734,733.0,130.0,14.762475967407227,1.0
2.0,2,2009.0,Digitized,,,p11_1,150.0,137.0,278.0,200.0,2302.0,801.0,371.0,1442.0,1509.0,1630.0,1486.5,2927.5,2129.5,1445.5,1442.0,1509.0,1630.0,1486.5,2927.5,2129.5,1445.5,344.7911376953125,977.0,119.0,17.843482971191406,1.0
2.0,2,2009.0,Digitized,,,p11_1,75.0,97.0,354.0,219.0,2031.0,697.0,396.0,1342.5,1407.5,1537.5,1428.0,2871.0,1796.0,1228.0,1342.5,1407.5,1537.5,1428.0,2871.0,1796.0,1228.0,26.711280822753906,944.0,92.0,26.013988494873047,1.0
2.0,2,2009.0,Digitized,,,p11_1,99.0,101.0,262.0,249.0,1791.0,971.0,397.0,244.0,240.0,420.0,299.0,2113.0,995.0,564.0,244.0,240.0,420.0,299.0,2113.0,995.0,564.0,352.2415771484375,745.0,87.0,25.19907569885254,1.0
2.0,2,2009.0,Digitized,,,p11_1,87.5,93.0,283.5,230.0,2256.0,871.5,393.5,339.0,348.0,475.0,355.0,1725.5,693.0,325.5,339.0,348.0,475.0,355.0,1725.5,693.0,325.5,375.8344421386719,868.0,94.0,23.51398468017578,1.0
2.0,2,2009.0,Digitized,,,p11_1,42.0,37.0,211.0,138.0,1931.0,661.0,276.0,1167.0,1244.5,1351.0,1123.0,2636.0,1404.0,724.0,1167.0,1244.5,1351.0,1123.0,2636.0,1404.0,724.0,31.13604164123535,810.0,61.0,34.62053680419922,1.0
2.0,2,2009.0,Digitized,,,p11_1,86.5,87.0,289.0,196.0,2043.5,664.0,320.0,751.5,812.5,996.5,865.0,2287.0,1276.5,769.0,751.5,812.5,996.5,865.0,2287.0,1276.5,769.0,13.062971115112305,951.0,131.0,15.390501976013184,1.0
2.0,2,2009.0,Digitized,,,p11_1,99.0,92.0,228.0,195.0,1707.0,722.0,350.0,208.0,215.5,412.5,307.0,2264.5,1049.5,485.5,208.0,215.5,412.5,307.0,2264.5,1049.5,485.5,255.1856231689453,823.0,185.0,22.059232711791992,1.0
2.0,2,2009.0,Digitized,,,p11_1,,,,,,,,640.0,685.3333,850.6667,679.0,2351.3333,1039.6666,510.0,640.0,685.3333,850.6667,679.0,2351.3333,1039.6666,510.0,45.50954818725586,904.0,109.0,25.374053955078125,1.0
